Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Criminal Justice,You Tube,https://www.youtube.com/watch?v=lRv6o0Rbi50
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Zip Recruiter,,https://www.ziprecruiter.com/e/Curriculum-Developer-Job-Description-Sample
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Work Chron,,https://work.chron.com/duties-school-superintendent-13899.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Learn.org,,https://learn.org/articles/Social_Services_Administration_5_Steps_to_Becoming_a_Social_Services_Administrator.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Job is Job,,https://www.jobisjob.com/criminal+justice/job-description
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Lawyer,You Tube,https://www.youtube.com/watch?v=cDOwzX7-xh0
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Financial Professional,You Tube,https://www.youtube.com/watch?v=achK_A5SX2g
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Pharmacist,You Tube,https://www.youtube.com/watch?v=oz7K-gY3sLA
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Psychology Careers,You Tube,https://www.youtube.com/watch?v=zYthHxlerrM
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Physician,You Tube,https://www.youtube.com/watch?v=FY-Z6dWGCtU
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Teacher,You Tube,https://www.youtube.com/watch?v=b1qp6iU4rZo
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Organizational Development,You Tube,https://www.youtube.com/watch?v=gN0Ok9erBHQ
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Customer Service Rep,You Tube,https://www.youtube.com/watch?v=Nmkv-4tGlC4
